"subjectid","featurename","activityname","meanvalue"
"1","fBodyAcc-mean()-Y","SITTING",3.3072826
"1","fBodyAcc-meanFreq()-X","SITTING",7.25944585
"1","fBodyAcc-meanFreq()-Z","SITTING",2.5061263
"1","fBodyAcc-std()-Y","SITTING",0.26634485
"1","fBodyAccJerk-mean()-X","SITTING",-5.8659491
"1","fBodyAccJerk-meanFreq()-Z","SITTING",5.505361
"1","fBodyAccJerk-std()-X","SITTING",5.0949693
"1","fBodyAccJerk-std()-Y","SITTING",-5.2999028
"1","fBodyAccMag-meanFreq()","SITTING",-1.9474337
"1","fBodyBodyAccJerkMag-mean()","SITTING",-4.7714846
"1","fBodyBodyAccJerkMag-meanFreq()","SITTING",-6.6298412
"1","fBodyBodyGyroJerkMag-meanFreq()","SITTING",-0.72398905
"1","fBodyBodyGyroMag-meanFreq()","SITTING",-1.01226785
"1","fBodyGyro-meanFreq()-X","SITTING",1.8530156
"1","fBodyGyro-meanFreq()-Z","SITTING",-6.6047389
"1","tBodyAcc-mean()-Y","SITTING",1.56584298888889
"1","tBodyAccJerk-mean()-Y","SITTING",1.9899942
"1","tBodyAccJerk-mean()-Z","SITTING",0.505485575
"1","tBodyAccJerkMag-std()","SITTING",-8.9848294
"1","tBodyAccMag-mean()","SITTING",-2.2112748
"1","tBodyGyro-mean()-X","SITTING",0.087020725
"1","tBodyGyro-mean()-Z","SITTING",3.9648885
"1","tBodyGyro-std()-Y","SITTING",-3.0338195
"1","tBodyGyroJerk-mean()-X","SITTING",3.8691027
"1","tBodyGyroJerk-mean()-Z","SITTING",2.9344713
"1","tGravityAccMag-mean()","SITTING",-2.2112748
"1","fBodyAccJerk-mean()-Y","STANDING",-3.1199341
"1","tBodyAcc-std()-X","STANDING",8.4312071
"1","tBodyAccJerk-mean()-Z","STANDING",-5.4674432
"1","fBodyAcc-mean()-X","WALKING",-5.85769087619048
"1","fBodyAcc-mean()-Y","WALKING",-5.19035605257353
"1","fBodyAcc-mean()-Z","WALKING",-6.0296041271137
"1","fBodyAcc-meanFreq()-X","WALKING",-2.4170237148289
"1","fBodyAcc-meanFreq()-Y","WALKING",0.917281176076555
"1","fBodyAcc-meanFreq()-Z","WALKING",0.730769788235294
"1","fBodyAcc-std()-X","WALKING",-6.08456868765823
"1","fBodyAcc-std()-Y","WALKING",-5.98129092139738
"1","fBodyAcc-std()-Z","WALKING",-5.55737955352564
"1","fBodyAccJerk-mean()-X","WALKING",-6.37570064324324
"1","fBodyAccJerk-mean()-Y","WALKING",-6.30627241618705
"1","fBodyAccJerk-mean()-Z","WALKING",-6.99341599623188
"1","fBodyAccJerk-meanFreq()-X","WALKING",-0.528077431948882
"1","fBodyAccJerk-meanFreq()-Y","WALKING",-2.58726651477663
"1","fBodyAccJerk-meanFreq()-Z","WALKING",-1.26245155606061
"1","fBodyAccJerk-std()-X","WALKING",-6.39176040477816
"1","fBodyAccJerk-std()-Y","WALKING",-5.81007255142857
"1","fBodyAccJerk-std()-Z","WALKING",-7.37861932680115
"1","fBodyAccMag-mean()","WALKING",-5.73028317743056
"1","fBodyAccMag-meanFreq()","WALKING",1.81044252723881
"1","fBodyAccMag-std()","WALKING",-6.07076746913947
"1","fBodyBodyAccJerkMag-mean()","WALKING",-6.24818502145455
"1","fBodyBodyAccJerkMag-meanFreq()","WALKING",2.8265910946281
"1","fBodyBodyAccJerkMag-std()","WALKING",-6.53073516526316
"1","fBodyBodyGyroJerkMag-mean()","WALKING",-6.62399692011834
"1","fBodyBodyGyroJerkMag-meanFreq()","WALKING",2.4493442267658
"1","fBodyBodyGyroJerkMag-std()","WALKING",-6.91311715784884
"1","fBodyBodyGyroMag-mean()","WALKING",-5.80553979150943
"1","fBodyBodyGyroMag-meanFreq()","WALKING",0.730589549511401
"1","fBodyBodyGyroMag-std()","WALKING",-5.74507673274854
"1","fBodyGyro-mean()-X","WALKING",-6.30990792434018
"1","fBodyGyro-mean()-Y","WALKING",-6.08049926503497
"1","fBodyGyro-mean()-Z","WALKING",-6.00767515830721
"1","fBodyGyro-meanFreq()-X","WALKING",-0.499582050222222
"1","fBodyGyro-meanFreq()-Y","WALKING",-1.26707244568966
"1","fBodyGyro-meanFreq()-Z","WALKING",-0.233567845128205
"1","fBodyGyro-std()-X","WALKING",-7.11019456627907
"1","fBodyGyro-std()-Y","WALKING",-5.75782722140078
"1","fBodyGyro-std()-Z","WALKING",-6.54031903275362
"1","tBodyAcc-mean()-X","WALKING",2.70044265672515
"1","tBodyAcc-mean()-Y","WALKING",-1.0801569125
"1","tBodyAcc-mean()-Z","WALKING",-1.21867661929134
"1","tBodyAcc-std()-X","WALKING",-6.06069370319489
"1","tBodyAcc-std()-Y","WALKING",-5.21157798064516
"1","tBodyAcc-std()-Z","WALKING",-5.93199942047782
"1","tBodyAccJerk-mean()-X","WALKING",1.06345108431373
"1","tBodyAccJerk-mean()-Y","WALKING",0.315445208208955
"1","tBodyAccJerk-mean()-Z","WALKING",-0.263251794615385
"1","tBodyAccJerk-std()-X","WALKING",-6.48721915268817
"1","tBodyAccJerk-std()-Y","WALKING",-5.99723526410256
"1","tBodyAccJerk-std()-Z","WALKING",-7.19243854624277
"1","tBodyAccJerkMag-mean()","WALKING",-6.30479157272727
"1","tBodyAccJerkMag-std()","WALKING",-6.40980925631769
"1","tBodyAccMag-mean()","WALKING",-5.89422055763359
"1","tBodyAccMag-std()","WALKING",-5.59174961850649
"1","tBodyGyro-mean()-X","WALKING",-0.188991122429907
"1","tBodyGyro-mean()-Y","WALKING",-1.40629460258065
"1","tBodyGyro-mean()-Z","WALKING",1.31931797333333
"1","tBodyGyro-std()-X","WALKING",-6.90958065539359
"1","tBodyGyro-std()-Y","WALKING",-6.91606019821429
"1","tBodyGyro-std()-Z","WALKING",-6.31999775613497
"1","tBodyGyroJerk-mean()-X","WALKING",-1.37016500526316
"1","tBodyGyroJerk-mean()-Y","WALKING",-0.634167417886179
"1","tBodyGyroJerk-mean()-Z","WALKING",-0.78832352173913
"1","tBodyGyroJerk-std()-X","WALKING",-6.44401746909621
"1","tBodyGyroJerk-std()-Y","WALKING",-6.53705773005952
"1","tBodyGyroJerk-std()-Z","WALKING",-6.68287098811594
"1","tBodyGyroJerkMag-mean()","WALKING",-6.42890564
"1","tBodyGyroJerkMag-std()","WALKING",-6.64834124588235
"1","tBodyGyroMag-mean()","WALKING",-5.72406553929825
"1","tBodyGyroMag-std()","WALKING",-5.4255188754717
"1","tGravityAcc-mean()-X","WALKING",7.80415905933735
"1","tGravityAcc-mean()-Y","WALKING",-0.849222724556213
"1","tGravityAcc-mean()-Z","WALKING",2.08301142792208
"1","tGravityAcc-std()-X","WALKING",-9.598594359366
"1","tGravityAcc-std()-Y","WALKING",-9.54100368526012
"1","tGravityAcc-std()-Z","WALKING",-9.28612341098266
"1","tGravityAccMag-mean()","WALKING",-5.89422055763359
"1","tGravityAccMag-std()","WALKING",-5.59174961850649
"1","fBodyAcc-mean()-X","WALKING_DOWNSTAIRS",-3.94453586666667
"1","fBodyAcc-mean()-Y","WALKING_DOWNSTAIRS",-1.89602411
"1","fBodyAcc-meanFreq()-X","WALKING_DOWNSTAIRS",-0.5647724875
"1","fBodyAcc-meanFreq()-Y","WALKING_DOWNSTAIRS",1.46957757333333
"1","fBodyAcc-meanFreq()-Z","WALKING_DOWNSTAIRS",0.60184802
"1","fBodyAcc-std()-X","WALKING_DOWNSTAIRS",3.1684896
"1","fBodyAcc-std()-Y","WALKING_DOWNSTAIRS",-2.12440064285714
"1","fBodyAcc-std()-Z","WALKING_DOWNSTAIRS",3.4030828
"1","fBodyAccJerk-mean()-X","WALKING_DOWNSTAIRS",0.69498635
"1","fBodyAccJerk-mean()-Y","WALKING_DOWNSTAIRS",-0.57355915
"1","fBodyAccJerk-meanFreq()-X","WALKING_DOWNSTAIRS",-3.16598004
"1","fBodyAccJerk-meanFreq()-Y","WALKING_DOWNSTAIRS",-1.056265725
"1","fBodyAccJerk-meanFreq()-Z","WALKING_DOWNSTAIRS",2.994829525
"1","fBodyAccJerk-std()-X","WALKING_DOWNSTAIRS",-0.216129075
"1","fBodyAccJerk-std()-Y","WALKING_DOWNSTAIRS",0.1787028
